"Name ","Purpose","Quantity","Price in USD","Link","Distributor"
"PCB(moq5)","The main board","5","4","https://jlcpcb.com/","JLC"
"Seeed Studio XIAO ESP32S3 ","For the control","1","11","https://robu.in/product/seeed-studio-xiao-esp32s3-2-4ghz-wifi-ble-5-0/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWd_uR_Xxpa0VI_fcXxcVx-Wc&gclid=CjwKCAjwhZDUBhBGEiwAbi5bjuvpP2YG0_zq38ZWVwgFKXSzYUXVDWVkkPNeXPBNlSf6uFtHKNKlRhoC5PoQAvD_BwE","Robu"
"Oled 1.3","For the Display","1","3.3","https://robu.in/product/1-3-inch-i2c-oled-display-module-4-pin-white/?gad_source=1&gad_campaignid=20387462343&gbraid=0AAAAADvLFWcA67hKFvttDKwvhqvLYHCVz&gclid=CjwKCAjwhZDUBhBGEiwAbi5bjtPzAbBzFsi5hBC-dH5rHlgkWsC3YC9lvtdW-BaMOZzr12Ot-kd2bBoCKxwQAvD_BwE","Robu"
"400mAh 3.7V Micro LiPo","For the power","1","2","https://robu.in/product/nova-303040-400mah-3-7v-micro-lipo-battery-pack/?gad_source=1&gad_campaignid=20387462343&gbraid=0AAAAADvLFWcA67hKFvttDKwvhqvLYHCVz&gclid=CjwKCAjwhZDUBhBGEiwAbi5bjlnpO2YBLoXpFiWi1Lmv9I0Iz5i2sw5xmd5KJZupDX38tMhkIxYIhBoCKMUQAvD_BwE","Robu"
"Slide Switch","For the switch","10","0.2","https://robu.in/product/1-month-warranty-255/?gad_source=1&gad_campaignid=17416544847&gbraid=0AAAAADvLFWcun3x3B6fHHCBTBe75lbj6w&gclid=CjwKCAjwhZDUBhBGEiwAbi5bjlsaM6Zhu_WjHJG19MlY3xphp1EQRJK01VQUmDuZZfAxRCxJqx8vshoCNfAQAvD_BwE","Robu"
"Ceramic capacitor Assorted Kit","For the capacitor","1","1.8","https://robu.in/product/ceramic-capacitor-assorted-kit-30-kinds-from-2pf-0-1uf/?gad_source=1&gad_campaignid=17413441824&gbraid=0AAAAADvLFWdF2sMp_M6HqlsgNDsY5hUQw&gclid=CjwKCAjwhZDUBhBGEiwAbi5bjuWZ3yypiFRbVp_bKMR6a6tCpH-XFP0NmLQ6oBU0KtlNav-ef3M_WRoCLVcQAvD_BwE","Robu"
"Micro SD Card Reader Module","For the Sd Card","1","0.4","https://robu.in/product/micro-sd-card-module/","Robu"
"Filament","For 3d Printing","1","3","Printing Legion",""
"Shipping","inc. PCB","","13","",""
"Tax","","","1.1","",""
"Total","","","39","",""
"Round Off","","","40","",""
"","","","","",""
"","","","","",""
